Date,Produit,Quantite,Prix_Unitaire
2024-10-01,Laptop Elite Pro,2,1499.99
2024-10-01,Souris Gaming RGB,15,59.99
2024-10-01,Clavier Mécanique Azerty,8,129.90
2024-10-01,Écran Courbe 27"" 144Hz,3,399.00
2024-10-01,Câble HDMI 2.1 2m,50,19.99
2024-10-01,Casque Audio Sans Fil,5,199.00
2024-10-02,Webcam 4K avec Micro,10,129.50
2024-10-02,Disque SSD NVMe 1TB,6,159.90
2024-10-02,Tablette Graphique Pro,2,899.99
2024-10-02,Station d'accueil USB-C,4,149.00
2024-10-02,Suite Bureautique Pro,3,449.00
2024-10-02,Antivirus 3 Postes,25,49.99
2024-10-02,Imprimante Multifonction,1,349.00
2024-10-02,Cartouche Encre Couleur,20,45.75
2024-10-03,Routeur Wi-Fi 6,7,189.00
2024-10-03,Switch Gestionable 24 ports,5,299.00
2024-10-03,Smartphone Flagship,4,1199.99
2024-10-03,Étui Protection Armée,30,34.99
2024-10-03,Enceinte Bluetooth Smart,12,129.00
2024-10-03,Powerbank 30000mAh,18,59.90
2024-10-04,Micro PC Mini,3,599.00
2024-10-04,RAM DDR5 32Go,9,169.00
2024-10-04,Carte Graphique RTX 4080,2,1299.00
2024-10-04,Ventilateur RGB 120mm,25,34.99
2024-10-04,NAS 4 Baies RAID,1,599.00
2024-10-04,Disque Dur Externe 5TB,4,149.90
2024-10-04,Moniteur UltraWide 34"",2,799.00
2024-10-04,Support Bras Articulé,8,129.50
2024-10-05,Clavier Sans Fil Silencieux,15,79.99
2024-10-05,Souris Ergonomique Verticale,10,64.90
2024-10-05,Tapis de Souris Gaming,40,29.99
2024-10-05,Hub USB-C 7-en-1,12,49.50
2024-10-05,Webcam Streaming Full HD,8,89.99
2024-10-05,Casque Réduction de Bruit,6,299.00
2024-10-05,Batterie Externe Solaire,10,79.90
2024-10-05,Logiciel Montage Vidéo,3,299.00
2024-10-05,Licence Windows 11 Pro,7,199.00
2024-10-06,Écran Tactile 24"",4,349.00
2024-10-06,Scanner Document A3,2,499.00
2024-10-06,Projecteur HD 4000 lumens,1,899.00
2024-10-06,Caméra Sécurité Wi-Fi,15,129.00
2024-10-06,Thermomètre Intelligent,25,49.99
2024-10-06,Balance Connectée,18,79.90
2024-10-06,Montre Sport GPS,9,249.00
2024-10-06,Bracelet Activité,30,89.99
2024-10-07,Drone 4K avec Caméra,3,799.00
2024-10-07,Console Jeu Portable,6,299.00
2024-10-07,Manette Gaming Pro,12,79.99
2024-10-07,Volant Racing Simulateur,4,449.00
2024-10-07,Casque VR Réalité Virtuelle,5,599.00
2024-10-07,Enceinte Home Cinéma 5.1,2,899.00
2024-10-07,Barre de Son Dolby Atmos,7,549.00
2024-10-07,Téléviseur OLED 55"",1,1799.00
2024-10-08,Box Internet Fibre,10,79.90
2024-10-08,Module Wi-Fi Mesh,8,129.00
2024-10-08,Onduleur 1500VA,5,299.00
2024-10-08,Chargeur Rapide 65W,25,39.99
2024-10-08,Câble Réseau CAT7 10m,50,24.90
2024-10-08,Adaptateur HDMI-VGA,30,19.50
2024-10-08,Micro-Cravate Professionnel,15,89.00
2024-10-08,Miroir Connecté Salle de Bain,3,399.00
2024-10-09,Robot Aspirateur Intelligent,6,599.00
2024-10-09,Purificateur d'Air HEPA,8,349.00
2024-10-09,Machine à Café Connectée,5,449.00
2024-10-09,Four à Micro-ondes Smart,7,299.00
2024-10-09,Réfrigérateur Connecté,1,2499.00
2024-10-09,Lave-vaisselle Silencieux,2,899.00
2024-10-09,Plaque Induction 4 feux,4,799.00
2024-10-09,Hotte Aspirante Design,3,699.00
2024-10-10,Vélo d'Appartement Connecté,5,999.00
2024-10-10,Tapis de Course Pliable,2,1499.00
2024-10-10,Haltères Intelligents,12,199.00
2024-10-10,Montre Cardio-fréquencemètre,15,179.00
2024-10-10,Machine à Pain Multifonction,8,129.90
2024-10-10,Robot Pâtissier Pro,6,399.00
2024-10-10,Set Couteaux Céramique,25,89.99
2024-10-10,Ustensiles de Cuisine Silicone,40,24.50
2024-10-11,Tente 4 Places Imperméable,4,299.00
2024-10-11,Sac de Couchage -10°C,10,149.00
2024-10-11,Réchaud Camping Gaz,15,79.90
2024-10-11,Lampe Frontale LED,30,34.99
2024-10-11,Vélo Tout Terrain Électrique,2,2499.00
2024-10-11,Trottinette Électrique pliable,7,899.00
2024-10-11,Hoverboard Auto-équilibrant,9,499.00
2024-10-11,Segway Mini Pro,5,799.00
2024-10-12,Appareil Photo Hybride 24MP,3,1299.00
2024-10-12,Objectif 50mm f/1.8,8,299.00
2024-10-12,Trépied Carbone Professionnel,12,189.00
2024-10-12,Flash Externe TTL,6,249.00
2024-10-12,Sac Photo Étanche,20,89.90
2024-10-12,Drone Cinewhoop FPV,4,899.00
2024-10-12,Gimbal Stabilisateur 3 axes,9,299.00
2024-10-12,Micro Cravate sans Fil,15,199.00
2024-10-13,Tablette Android 10"",25,249.00
2024-10-13,Liseuse Électronique E-ink,18,139.00
2024-10-13,Enregistreur Vocal Numérique,30,79.90
2024-10-13,Calculatrice Graphique,40,129.99
2024-10-13,Microscope Numérique USB,12,199.00
2024-10-13,Télescope Astronomique 150mm,5,499.00
2024-10-13,Station Météo Professionnelle,8,349.00
2024-10-13,Détecteur de Fumée Connecté,25,89.00
2024-10-14,Piano Numérique 88 touches,3,899.00
2024-10-14,Guitare Électrique Débutant,7,299.00
2024-10-14,Ampli Guitare 20W,9,149.00
2024-10-14,Micro Chant Dynamique,15,99.90
2024-10-14,Interface Audio USB,12,199.00
2024-10-14,Casque Monitoring Studio,8,249.00
2024-10-14,Enceintes Monitoring 5"",6,399.00
2024-10-14,Contrôleur MIDI 25 touches,20,129.00
2024-10-15,Imprimante 3D Résine,2,799.00
2024-10-15,Filament PLA 1kg 10 couleurs,50,29.99
2024-10-15,Scanner 3D Portable,3,1499.00
2024-10-15,Stylo 3D Dessin,25,79.90
2024-10-15,Machine à Coudre Électronique,6,499.00
2024-10-15,Surjeteuse 4 fils,4,699.00
2024-10-15,Fer à Souder Station,12,149.00
2024-10-15,Multimètre Numérique Auto,30,59.99
2024-10-16,Perceuse Visseuse Sans Fil,8,199.00
2024-10-16,Scie Circulaire Portable,5,299.00
2024-10-16,Ponceuse Excentrique,7,179.00
2024-10-16,Aspirateur Industriel,3,499.00
2024-10-16,Nettoyeur Haute Pression,6,399.00
2024-10-16,Tondeuse Robot Gazon,2,1299.00
2024-10-16,Taille-Haie Électrique,9,249.00
2024-10-16,Tronçonneuse Thermique,4,599.00
2024-10-17,Poussette Canne Ultra-légère,15,349.00
2024-10-17,Siège Auto Groupe 1/2/3,12,299.00
2024-10-17,Babyphone Vidéo avec Capteurs,20,199.00
2024-10-17,Stérilisateur UV Biberons,25,129.90
2024-10-17,Chauffe-Biberon Rapide,30,79.99
2024-10-17,Balançoire Bébé Électronique,8,249.00
2024-10-17,Table à Langer Pliable,10,149.00
2024-10-17,Veilleuse Projecteur Étoiles,40,39.90
2024-10-18,VTT Carbone 29 pouces,3,2999.00
2024-10-18,Casque Cycliste Aérodynamique,15,199.00
2024-10-18,Maillot Cycliste Pro,25,149.90
2024-10-18,Chaussures Cyclisme Carbone,18,299.00
2024-10-18,Montre GPS Trail Running,12,349.00
2024-10-18,Chaussures Running Carbone,20,249.00
2024-10-18,Tapis de Yoga Antidérapant,50,34.99
2024-10-18,Rouleau de Massage Myofascial,30,24.90
2024-10-19,Tente Rooftop Voiture,2,899.00
2024-10-19,Glacière Électrique 40L,8,299.00
2024-10-19,Pompe à Air 12V double sortie,15,79.90
2024-10-19,Compresseur de Voyage,12,149.00
2024-10-19,Démarreur de Batterie Portable,10,199.00
2024-10-19,Nettoyant Jante Haute Pression,25,29.99
2024-10-19,Cire Liquide Protection Carrosserie,40,49.90
2024-10-19,Kit de Nettoyage Intérieur Voiture,35,39.99
2024-10-20,Thermomix TM6,3,1499.00
2024-10-20,Robot Tondeuse Connecté,5,1299.00
2024-10-20,Aspirateur Robot avec Station,8,799.00
2024-10-20,Purificateur d'Eau UV,12,399.00
2024-10-20,Distributeur Nourriture Chat Connecté,20,149.00
2024-10-20,Fontaine à Eau pour Chien,25,89.90
2024-10-20,Cage Transport Chien,15,199.00
2024-10-20,Arbre à Chat Design,10,299.00
2024-10-21,Écran Gaming 32"" 240Hz,4,799.00
2024-10-21,Fauteuil Gaming Ergonomique,6,499.00
2024-10-21,Bureau Gaming Réglable,3,899.00
2024-10-21,Lampe LED Ambiance Gaming,30,69.99
2024-10-21,Clavier Numérique Macro,12,149.00
2024-10-21,Mousepad XXL Édition Limitée,25,49.90
2024-10-21,Support Casque Gaming,40,34.99
2024-10-21,Webcam Streaming 1080p 60fps,18,129.00
2024-10-22,Drone avec Suivi Visage,5,899.00
2024-10-22,Caméra Action 4K Étanche,8,399.00
2024-10-22,Stabilisateur Smartphone 3 axes,15,99.90
2024-10-22,Micro Cravate pour Smartphone,25,49.99
2024-10-22,Trépied pliant Compact,30,79.00
2024-10-22,Sac à Dos Photographe,12,199.00
2024-10-22,Filtre ND Variable 82mm,10,149.00
2024-10-22,Batterie Externe 50000mAh,20,129.90
2024-10-23,Montre Connectée Écran AMOLED,25,349.00
2024-10-23,Bracelet Santé ECG,30,199.00
2024-10-23,Tensiomètre Bras Électronique,15,89.90
2024-10-23,Thermomètre Frontal Infrarouge,40,59.99
2024-10-23,Nebuliseur Ultrasonique,12,129.00
2024-10-23,Masque Lumière Pulsée Épilation,8,299.00
2024-10-23,Rasoir Électrique 5 lames,20,249.00
2024-10-23,Sèche-cheveux Ionique Professionnel,15,179.00
2024-10-24,Enceinte Portable Étanche,25,129.00
2024-10-24,Radio Réveil Projecteur,30,79.90
2024-10-24,Radio FM avec Bluetooth,18,49.99
2024-10-24,Poste de Soudure à l'Arc,5,299.00
2024-10-24,Meuleuse d'Angle 125mm,8,149.00
2024-10-24,Perforateur Burineur 800W,6,399.00
2024-10-24,Pistoler à Peinture Airless,4,799.00
2024-10-24,Groupe Électrogène Inverter 3000W,3,1299.00
2024-10-25,Chaise de Bureau Ergonomique,10,599.00
2024-10-25,Lampe de Bureau LED Réglable,25,89.90
2024-10-25,Support Ordinateur Portable,30,49.99
2024-10-25,Rangement de Bureau Organiseur,40,34.90
2024-10-25,Machine à Affranchir,8,299.00
2024-10-25,Destructeur de Documents,12,199.00
2024-10-25,Relieuse Électrique,6,399.00
2024-10-25,Scanner à Plat A4 Rapide,7,499.00
